Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor
'2024',1,Ciutat Vella,1,el Raval,1,1001,7
'2024',1,Ciutat Vella,1,el Raval,1,1002,10
'2024',1,Ciutat Vella,1,el Raval,2,1003,41
'2024',1,Ciutat Vella,1,el Raval,2,1004,22
'2024',1,Ciutat Vella,1,el Raval,3,1005,19
'2024',1,Ciutat Vella,1,el Raval,3,1006,6
'2024',1,Ciutat Vella,1,el Raval,3,1007,20
'2024',1,Ciutat Vella,1,el Raval,4,1008,46
'2024',1,Ciutat Vella,1,el Raval,4,1009,19
'2024',1,Ciutat Vella,1,el Raval,4,1010,26
'2024',1,Ciutat Vella,1,el Raval,5,1011,28
'2024',1,Ciutat Vella,1,el Raval,5,1012,26
'2024',1,Ciutat Vella,1,el Raval,5,1013,17
'2024',1,Ciutat Vella,1,el Raval,6,1014,16
'2024',1,Ciutat Vella,1,el Raval,6,1015,12
'2024',1,Ciutat Vella,1,el Raval,6,1016,16
'2024',1,Ciutat Vella,1,el Raval,6,1017,25
'2024',1,Ciutat Vella,1,el Raval,7,1018,11
'2024',1,Ciutat Vella,1,el Raval,7,1019,30
'2024',1,Ciutat Vella,1,el Raval,7,1020,11
'2024',1,Ciutat Vella,1,el Raval,8,1021,7
'2024',1,Ciutat Vella,2,el Barri Gòtic,9,1022,6
'2024',1,Ciutat Vella,2,el Barri Gòtic,9,1023,7
'2024',1,Ciutat Vella,2,el Barri Gòtic,10,1025,7
'2024',1,Ciutat Vella,2,el Barri Gòtic,10,1026,45
'2024',1,Ciutat Vella,2,el Barri Gòtic,10,1027,8
'2024',1,Ciutat Vella,2,el Barri Gòtic,11,1028,16
'2024',1,Ciutat Vella,2,el Barri Gòtic,11,1029,7
'2024',1,Ciutat Vella,2,el Barri Gòtic,12,1030,8
'2024',1,Ciutat Vella,2,el Barri Gòtic,12,1031,9
'2024',1,Ciutat Vella,3,la Barceloneta,13,1032,6
'2024',1,Ciutat Vella,3,la Barceloneta,13,1033,7
'2024',1,Ciutat Vella,3,la Barceloneta,13,1034,..
'2024',1,Ciutat Vella,3,la Barceloneta,14,1035,5
'2024',1,Ciutat Vella,3,la Barceloneta,14,1036,..
'2024',1,Ciutat Vella,3,la Barceloneta,15,1037,14
'2024',1,Ciutat Vella,3,la Barceloneta,15,1038,8
'2024',1,Ciutat Vella,3,la Barceloneta,15,1039,5
'2024',1,Ciutat Vella,3,la Barceloneta,15,1040,7
'2024',1,Ciutat Vella,3,la Barceloneta,15,1041,10
'2024',1,Ciutat Vella,3,la Barceloneta,15,1042,9
'2024',1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1043,7
'2024',1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1044,11
'2024',1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1045,11
'2024',1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1046,5
'2024',1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1047,9
'2024',1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1048,14
'2024',1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1049,8
'2024',1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1050,8
'2024',1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1051,10
'2024',1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1052,14
'2024',1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1053,6
'2024',1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1054,9
'2024',1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1055,10
'2024',2,Eixample,5,el Fort Pienc,20,2001,7
'2024',2,Eixample,5,el Fort Pienc,20,2002,24
'2024',2,Eixample,5,el Fort Pienc,20,2003,5
'2024',2,Eixample,5,el Fort Pienc,20,2004,13
'2024',2,Eixample,5,el Fort Pienc,20,2005,14
'2024',2,Eixample,5,el Fort Pienc,20,2006,11
'2024',2,Eixample,5,el Fort Pienc,20,2007,5
'2024',2,Eixample,5,el Fort Pienc,20,2008,10
'2024',2,Eixample,5,el Fort Pienc,20,2009,7
'2024',2,Eixample,5,el Fort Pienc,21,2010,7
'2024',2,Eixample,5,el Fort Pienc,21,2011,11
'2024',2,Eixample,5,el Fort Pienc,21,2012,10
'2024',2,Eixample,5,el Fort Pienc,21,2013,6
'2024',2,Eixample,5,el Fort Pienc,22,2014,14
'2024',2,Eixample,5,el Fort Pienc,22,2015,10
'2024',2,Eixample,5,el Fort Pienc,22,2016,12
'2024',2,Eixample,5,el Fort Pienc,22,2017,5
'2024',2,Eixample,5,el Fort Pienc,22,2018,11
'2024',2,Eixample,5,el Fort Pienc,22,2019,15
'2024',2,Eixample,5,el Fort Pienc,22,2020,16
'2024',2,Eixample,6,la Sagrada Família,23,2021,10
'2024',2,Eixample,6,la Sagrada Família,23,2022,7
